tokens,ner_tags
"['two', 'decad', 'after', 'frank', 'herbert', 'death', 'hi', 'son', 'brian', 'herbert', 'along', 'with', 'kevin', 'anderson', 'publish', 'two', 'sequel', 's', 'hunter', 'of', 'dune', '2006', 'and', 'sandworm', 'of', 'dune', '2007', 'base', 'on', 'note', 'left', 'behind', 'by', 'frank', 'herbert', 'for', 'what', 'he', 'refer', 'to', 'as', 'dune', '7', 'hi', 'own', 'plan', 'seventh', 'novel', 'in', 'the', 'dune', 'seri']","[0, 0, 0, 3, 4, 0, 0, 0, 3, 4, 0, 0, 3, 4, 0, 0, 0, 0, 1, 2, 2, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 13, 0, 0, 23, 24]"
"['februari', '2015', 'saw', 'elli', 'releas', 'hi', 'first', 'album', 'as', 'zarelli', 'soft', 'rain', 'on', 'the', 'serié', 'aphōno', 'label', 'a', 'mostli', 'instrument', 'synthes', 'record', 'featur', 'the', 'voic', 'of', 'leonard', 'nimoy', 'read', 'the', 'ray', 'bradburi', 'short', 'stori', 'there', 'will', 'come', 'soft', 'rain']","[0, 0, 0, 17, 0, 0, 0, 0, 0, 17, 23, 24, 0, 0, 21, 22, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 0, 0, 3, 4, 13, 14, 7, 8, 8, 8, 8]"
"['the', 'first', 'known', 'scienc', 'fiction', 'televis', 'program', 'wa', 'a', 'adapt', 'excerpt', 'of', 'the', 'play', 'rur', 'written', 'by', 'the', 'czech', 'playwright', 'karel', 'čapek', 'broadcast', 'live', 'from', 'the', 'bbc', 'alexandra', 'palac', 'studio', 'on', '11', 'februari', '1938']","[0, 0, 0, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 23, 0, 3, 4, 0, 0, 0, 0, 21, 19, 20, 0, 0, 0, 0, 0]"
"['stoker', 'inspir', 'for', 'the', 'stori', 'in', 'addit', 'to', 'whitbi', 'may', 'have', 'includ', 'a', 'visit', 'to', 'slain', 'castl', 'in', 'aberdeenshir', 'a', 'visit', 'to', 'the', 'crypt', 'of', 'michan', 'church', 'in', 'dublin', 'and', 'the', 'novella', 'carmilla', 'by', 'sheridan', 'le', 'fanu']","[3, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19, 20, 0, 19, 0, 0, 0, 0, 0, 0, 20, 20, 0, 19, 0, 0, 13, 1, 0, 3, 4, 4]"
"['the', 'film', 'wa', 'complet', 'in', '1979', 'and', 'won', 'the', 'prize', 'of', 'the', 'ecumen', 'juri', 'at', 'the', 'cann', 'film', 'festiv']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 0, 0, 9, 10, 10]"
"['the', 'forsyt', 'saga', 'first', 'publish', 'under', 'that', 'titl', 'in', '1922', 'is', 'a', 'seri', 'of', 'three', 'novel', 'and', 'two', 'interlud', 'publish', 'between', '1906', 'and', '1921', 'by', 'nobel', 'prize', 'in', 'literatur', 'english', 'author', 'john', 'galsworthi']","[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 23, 0, 3, 4]"
"['the', 'first', 'actual', 'missionari', 'in', 'sweden', 'and', 'the', 'nordic', 'countri', 'and', 'organ', 'of', 'the', 'cathol', 'church', 'therein', 'ansgar', 'wa', 'later', 'declar', 'patron', 'of', 'scandinavia']","[0, 0, 0, 0, 0, 15, 0, 0, 19, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 19]"
"['in', 'late', 'novemb', '1851', 'dicken', 'move', 'into', 'tavistock', 'hous', 'where', 'he', 'wrote', 'bleak', 'hous', 'hard', 'time', '1854', 'and', 'littl', 'dorrit', '1856']","[0, 0, 0, 0, 3, 0, 0, 19, 20, 0, 0, 0, 1, 2, 1, 2, 0, 0, 1, 2, 0]"
"['hi', 'supernatur', 'thriller', 'film', 'djinn', 'premier', 'at', 'the', '2013', 'abu', 'dhabi', 'film', 'festiv']","[0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 10, 10, 10]"
"['truffaut', 'is', 'admir', 'among', 'other', 'filmmak', 'and', 'sever', 'tribut', 'to', 'hi', 'work', 'have', 'appear', 'in', 'other', 'film', 'such', 'as', 'almost', 'famou', 'face', 'and', 'the', 'dive', 'bell', 'and', 'the', 'butterfli', 'as', 'well', 'as', 'novelist', 'haruki', 'murakami', 's', 'kafka', 'on', 'the', 'shore']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24, 23, 0, 23, 24, 24, 24, 24, 24, 0, 0, 0, 0, 3, 4, 0, 1, 2, 2, 2]"
