tokens,ner_tags
"['typic', 'gener', 'model', 'approach', 'includ', 'naiv', 'bay', 'classifi', 's', 'gaussian', 'mixtur', 'model', 's', 'variat', 'autoencod', 'and', 'other']","[0, 0, 0, 0, 0, 7, 8, 8, 0, 7, 8, 8, 0, 7, 8, 0, 0]"
"['final', 'everi', 'other', 'year', 'elra', 'organ', 'a', 'major', 'confer', 'lrec', 'the', 'intern', 'languag', 'resourc', 'and', 'evalu', 'confer']","[0, 0, 0, 0, 15, 0, 0, 0, 0, 15, 0, 15, 16, 16, 16, 16, 16]"
"['the', 'task', 'is', 'usual', 'to', 'deriv', 'the', 'maximum', 'likelihood', 'estim', 'of', 'the', 'paramet', 'of', 'the', 'hmm', 'given', 'the', 'of', 'output', 'sequenc']","[0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0]"
"['unlik', 'neural', 'network', 's', 'and', 'support', 'vector', 'machin', 'the', 'adaboost', 'train', 'process', 'select', 'onli', 'those', 'featur', 'known', 'to', 'improv', 'the', 'predict', 'power', 'of', 'the', 'model', 'reduc', 'dimension', 'and', 'potenti', 'improv', 'execut', 'time', 'as', 'irrelev', 'featur', 'need', 'not', 'be', 'comput']","[0, 7, 8, 0, 0, 7, 8, 8, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['troponymi', 'is', 'one', 'of', 'the', 'possibl', 'relat', 'between', 'verb', 's', 'in', 'the', 'semant', 'network', 'of', 'the', 'wordnet', 'databas']","[27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 0, 0, 5, 6]"
"['a', 'frame', 'languag', 'is', 'a', 'technolog', 'use', 'for', 'knowledg', 'represent', 'in', 'artifici', 'intellig']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 1, 2]"
"['nist', 'also', 'differ', 'from', 'bilingu', 'evalu', 'understudi', 'in', 'it', 'calcul', 'of', 'the', 'breviti', 'penalti', 'insofar', 'as', 'small', 'variat', 'in', 'translat', 'length', 'do', 'not', 'impact', 'the', 'overal', 'score', 'as', 'much']","[11, 0, 0, 0, 11, 12, 12, 0, 0, 0, 0, 0, 27, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['the', 'model', 'is', 'initi', 'fit', 'on', 'a', 'train', 'dataset', 'the', 'model', 'a', 'neural', 'net', 'or', 'a', 'naiv', 'bay', 'classifi', 'is', 'train', 'on', 'the', 'train', 'dataset', 'use', 'a', 'supervis', 'learn', 'method', 'for', 'exampl', 'use', 'optim', 'method', 'such', 'as', 'gradient', 'descent', 'or', 'stochast', 'gradient', 'descent']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 7, 8, 8]"
"['framenet', 'ha', 'been', 'use', 'in', 'applic', 'like', 'question', 'answer', 'paraphras', 'recogn', 'textual', 'entail', 'and', 'inform', 'extract', 'either', 'directli', 'or', 'by', 'mean', 'of', 'semant', 'role', 'label', 'tool']","[5, 0, 0, 0, 0, 0, 0, 3, 4, 3, 3, 4, 4, 0, 3, 4, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0]"
"['thi', 'would', 'includ', 'program', 'such', 'as', 'data', 'analysi', 'and', 'extract', 'tool', 'spreadsheet', 'excel', 'databas', 'access', 'statist', 'analysi', 'sa', 'gener', 'audit', 'softwar', 'acl', 'arbutu', 'ea', 'busi', 'intellig', 'crystal', 'report', 'and', 'busi', 'object', 'etc']","[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 27, 5, 27, 5, 1, 2, 5, 27, 28, 28, 5, 5, 5, 27, 28, 5, 6, 0, 5, 6, 0]"
"['rethink', 'robot', 'found', 'by', 'rodney', 'brook', 'previous', 'with', 'irobot', 'introduc', 'baxter', 'in', 'septemb', '2012', 'as', 'an', 'industri', 'robot', 'design', 'to', 'safe', 'interact', 'with', 'neighbor', 'human', 'worker', 'and', 'be', 'programm', 'for', 'perform', 'simpl', 'task']","[23, 24, 0, 0, 9, 10, 0, 0, 23, 0, 5, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['typic', 'text', 'mine', 'task', 'includ', 'text', 'categor', 'text', 'cluster', 'concept', 'entiti', 'extract', 'product', 'of', 'granular', 'taxonomi', 'sentiment', 'analysi', 'document', 'summar', 'and', 'entiti', 'relat', 'model', 'learn', 'relat', 'between', 'name', 'entiti', 'recognit']","[0, 1, 2, 0, 0, 3, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3, 4, 3, 4, 0, 3, 4, 4, 0, 0, 0, 3, 4, 4]"
"['nonetheless', 'stem', 'reduc', 'precis', 'or', 'true', 'neg', 'rate', 'for', 'such', 'system']","[0, 0, 0, 11, 0, 11, 12, 12, 0, 0, 0]"
"['a', 'special', 'case', 'of', 'keyword', 'spot', 'is', 'wake', 'word', 'also', 'call', 'hot', 'word', 'detect', 'use', 'by', 'person', 'digit', 'assist', 'such', 'as', 'alexa', 'or', 'siri', 'to', 'wake', 'up', 'when', 'their', 'name', 'is', 'spoken']","[0, 0, 0, 0, 3, 4, 0, 27, 28, 0, 0, 27, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
"['prova', 'is', 'an', 'open', 'sourc', 'program', 'languag', 'that', 'combin', 'prolog', 'with', 'java']","[13, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 13]"
"['in', '1987', 'tocibai', 'machin', 'a', 'subsidiari', 'of', 'toshiba', 'wa', 'accus', 'of', 'illeg', 'sell', 'cnc', 'mill', 's', 'use', 'to', 'produc', 'veri', 'quiet', 'submarin', 'propel', 'to', 'the', 'soviet', 'union', 'in', 'violat', 'of', 'the', 'cocom', 'agreement', 'an', 'intern', 'embargo', 'on', 'certain', 'countri', 'to', 'comecon', 'countri']","[0, 0, 23, 24, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0]"
"['engelberg', 'most', 'famou', 'the', 'unim', 'industri', 'robot', 'arm', 'wa', 'among', 'the', 'first', 'inducte', 'into', 'the', 'robot', 'hall', 'of', 'fame', 'in', '2003']","[9, 0, 0, 0, 5, 6, 6, 6, 0, 0, 0, 0, 0, 0, 0, 25, 26, 26, 26, 0, 0]"
"['origin', 'control', 'via', 'static', 'html', 'web', 'page', 'use', 'cgi', 'work', 'by', 'dalton', 'saw', 'the', 'introduct', 'of', 'an', 'augment', 'realiti', 'java', 'interfac', 'that', 'met', 'with', 'limit', 'success']","[0, 0, 0, 27, 28, 0, 0, 0, 27, 0, 0, 21, 0, 0, 0, 0, 0, 1, 2, 13, 0, 0, 0, 0, 0, 0]"
"['the', 'first', 'public', 'about', 'the', 'lmf', 'specif', 'as', 'it', 'ha', 'been', 'ratifi', 'by', 'iso', 'thi', 'paper', 'becam', 'in', '2015', 'the', '9th', 'most', 'cite', 'paper', 'within', 'the', 'lrec', 'confer', 'from', 'lrec', 'paper']","[0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 15, 0]"
"['a', 'confus', 'matrix', 'or', 'match', 'matrix', 'is', 'often', 'use', 'as', 'a', 'tool', 'to', 'valid', 'the', 'accuraci', 'of', 'k', 'classif']","[0, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 7, 8]"
"['decis', 'tree', 'learn', 'is', 'one', 'of', 'the', 'predict', 'model', 'approach', 'use', 'in', 'statist', 'data', 'mine', 'and', 'machin', 'learn']","[7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 1, 2]"
"['at', 'runtim', 'the', 'target', 'prosodi', 'of', 'a', 'sentenc', 'is', 'superimpos', 'on', 'these', 'minim', 'unit', 'by', 'mean', 'of', 'signal', 'process', 'techniqu', 'such', 'as', 'linear', 'predict', 'code', 'psola']","[0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 7, 8, 8, 7]"
"['thi', 'approach', 'util', 'artifici', 'intellig', 'and', 'machin', 'learn', 'to', 'allow', 'research', 'to', 'visibl', 'compar', 'convent', 'and', 'thermal', 'facial', 'imageri']","[0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4]"
"['in', 'comput', 'scienc', 'evolutionari', 'comput', 'is', 'a', 'famili', 'of', 'algorithm', 'for', 'global', 'optim', 'inspir', 'by', 'biolog', 'evolut', 'and', 'the', 'subfield', 'of', 'artifici', 'intellig', 'and', 'soft', 'comput', 'studi', 'these', 'algorithm']","[0, 1, 2, 7, 8, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 27, 28, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 0, 0]"
"['for', 'instanc', 'one', 'can', 'combin', 'some', 'measur', 'base', 'on', 'the', 'confus', 'matrix', 'with', 'the', 'mean', 'squar', 'error', 'evalu', 'between', 'the', 'raw', 'model', 'output', 'and', 'the', 'actual', 'valu']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 0, 11, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['the', 'major', 'are', 'result', 'of', 'the', 'word2vec', 'model', 'develop', 'by', 'mikolov', 'et', 'al', 'or', 'variant', 'of', 'word2vec']","[0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 9, 0, 0, 0, 0, 0, 5]"
"['it', 'wa', 'dure', 'thi', 'time', 'that', 'a', 'total', 'of', '43', 'public', 'were', 'recogn', 'by', 'the', 'cvpr', 'and', 'the', 'intern', 'confer', 'on', 'comput', 'vision', 'iccv']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 15, 16, 16, 16, 16, 15]"
"['the', 'aibo', 'ha', 'seen', 'much', 'use', 'as', 'an', 'inexpens', 'platform', 'for', 'artifici', 'intellig', 'educ', 'and', 'research', 'becaus', 'integr', 'a', 'comput', 'comput', 'vision', 'and', 'articul', 'in', 'a', 'packag', 'vastli', 'cheaper', 'than', 'convent', 'research', 'robot']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['she', 'serv', 'as', 'program', 'chair', 'of', 'intern', 'confer', 'on', 'comput', 'vision', '2021']","[0, 0, 0, 0, 0, 0, 15, 16, 16, 16, 16, 16]"
"['scheinman', 'after', 'receiv', 'a', 'fellowship', 'from', 'unim', 'to', 'develop', 'hi', 'design', 'sold', 'those', 'design', 'to', 'unim', 'who', 'further', 'develop', 'them', 'with', 'support', 'from', 'gener', 'motor', 'and', 'later', 'market', 'it', 'as', 'the', 'programm', 'univers', 'machin', 'for', 'assembl', 'puma']","[9, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 23, 24, 0, 0, 0, 0, 0, 0, 5, 6, 6, 6, 6, 5]"
"['an', 'overview', 'of', 'calibr', 'method', 'for', 'binari', 'classif', 'and', 'multiclass', 'classif', 'classif', 'task', 'is', 'given', 'by', 'gebel', '2009']","[0, 0, 0, 0, 0, 0, 3, 4, 0, 3, 4, 4, 4, 0, 0, 0, 9, 0]"
"['he', 'is', 'involv', 'in', 'field', 'such', 'as', 'optic', 'charact', 'recognit', 'ocr', 'speech', 'synthesi', 'speech', 'recognit', 'technolog', 'and', 'electron', 'keyboard', 'instrument']","[0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 3, 3, 4, 3, 4, 0, 0, 0, 0, 0]"
"['for', 'more', 'recent', 'and', 'techniqu', 'kaldi', 'toolkit', 'can', 'be', 'use']","[0, 0, 0, 0, 0, 5, 6, 0, 0, 0]"
"['is', 'a', 'fellow', 'of', 'the', 'american', 'philosoph', 'societi', 'a', 'fellow', 'of', 'the', 'royal', 'societi', 'a', 'fellow', 'of', 'the', 'british', 'academi', 'a', 'william', 'jame', 'fellow', 'of', 'the', 'associ', 'for', 'psycholog', 'scienc', 'and', 'a', 'fellow', 'of', 'the', 'cognit', 'scienc', 'societi']","[0, 0, 0, 0, 0, 23, 24, 24, 0, 0, 0, 0, 23, 24, 0, 0, 0, 0, 23, 24, 0, 9, 10, 0, 0, 0, 23, 24, 24, 24, 0, 0, 0, 0, 0, 23, 24, 24]"
"['at', 'the', 'ieee', 'intern', 'confer', 'on', 'imag', 'process', 'in', '2010', 'rui', 'hu', 'mark', 'banard', 'and', 'john', 'collomoss', 'extend', 'the', 'hog', 'descriptor', 'for', 'use', 'in', 'sketch', 'base', 'imag', 'retriev', 'sbir']","[0, 0, 15, 16, 16, 16, 16, 16, 0, 0, 9, 10, 9, 10, 0, 9, 10, 0, 0, 7, 8, 0, 0, 0, 3, 4, 4, 4, 3]"
"['bleu', 'use', 'a', 'modifi', 'form', 'of', 'precis', 'to', 'compar', 'a', 'candid', 'translat', 'against', 'multipl', 'refer', 'translat']","[11, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['for', 'the', 'case', 'of', 'a', 'gener', 'base', 'space', 'math', 'y', 'mathcal', 'b', 'nu', 'math', 'a', 'base', 'space', 'which', 'is', 'not', 'countabl', 'one', 'typic', 'consid', 'the', 'rel', 'entropi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12]"
"['as', 'of', 'octob', '2011', 'the', 'partnership', 'with', 'the', 'unit', 'state', 'nation', 'park', 'servic', 'np', 'the', 'unit', 'kingdom', 'histor', 'scotland', 'hs', 'world', 'monument', 'fund', 'and', 'mexico', 'instituto', 'nacion', 'de', 'antropología', 'y', 'historia', 'inah', 'had', 'been', 'greatli', 'expand', 'cyark', 'websit']","[0, 0, 0, 0, 0, 0, 0, 0, 19, 20, 23, 24, 24, 23, 0, 19, 20, 23, 24, 23, 23, 24, 24, 0, 19, 23, 24, 24, 24, 24, 24, 23, 0, 0, 0, 0, 27, 27]"
"['kernel', 'svm', 'are', 'avail', 'in', 'mani', 'toolkit', 'includ', 'libsvm', 'matlab', 'and', 'other']","[7, 8, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0]"
"['the', '2009', 'loebner', 'prize', 'competit', 'wa', 'held', 'septemb', '6', '2009', 'at', 'the', 'brighton', 'centr', 'brighton', 'uk', 'in', 'conjunct', 'with', 'the', 'interspeech', '2009', 'confer']","[0, 0, 27, 28, 28, 0, 0, 0, 0, 0, 0, 0, 25, 26, 25, 19, 0, 0, 0, 0, 15, 16, 16]"
"['the', 'humanoid', 'qrio', 'robot', 'wa', 'design', 'as', 'the', 'successor', 'to', 'aibo', 'and', 'run', 'the', 'same', 'base', 'aperio', 'oper', 'system']","[0, 0, 5, 6, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 6]"
"['speech', 'waveform', 'are', 'gener', 'from', 'hmm', 'themselv', 'base', 'on', 'the', 'maximum', 'likelihood', 'criterion']","[27, 28, 0, 0, 0, 7, 0, 0, 0, 0, 7, 8, 0]"
"['googl', 'translat', 'is', 'a', 'free', 'multilingu', 'statist', 'machin', 'translat', 'and', 'neural', 'machin', 'translat', 'servic', 'develop', 'by', 'googl', 'to', 'translat', 'text', 'and', 'websit', 'from', 'one', 'languag', 'into', 'anoth']","[5, 6, 0, 0, 0, 3, 4, 4, 4, 0, 3, 4, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['skeleton', 'are', 'wide', 'use', 'in', 'comput', 'vision', 'imag', 'analysi', 'pattern', 'recognit', 'and', 'digit', 'imag', 'process', 'for', 'purpos', 'such', 'as', 'optic', 'charact', 'recognit', 'fingerprint', 'recognit', 'visual', 'inspect', 'or', 'compress']","[0, 0, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 1, 2, 2, 0, 0, 0, 0, 3, 4, 4, 3, 4, 3, 4, 4, 4]"
"['the', 'imagenet', 'larg', 'scale', 'visual', 'recognit', 'challeng', 'is', 'a', 'benchmark', 'in', 'object', 'classif', 'and', 'detect', 'with', 'million', 'of', 'imag', 'and', 'hundr', 'of', 'object', 'class']","[0, 15, 16, 16, 16, 16, 16, 0, 0, 0, 0, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['bengio', 'togeth', 'with', 'geoffrey', 'hinton', 'and', 'yann', 'lecun', 'are', 'refer', 'to', 'by', 'some', 'as', 'the', 'godfath', 'of', 'ai', 'and', 'godfath', 'of', 'deep', 'learn']","[9, 0, 0, 9, 10, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 27, 28, 28, 0, 27, 28, 28, 28]"
"['he', 'is', 'a', 'life', 'fellow', 'of', 'ieee']","[0, 0, 0, 0, 0, 0, 23]"
"['nsa', 'bethesda', 'is', 'respons', 'for', 'base', 'oper', 'support', 'for', 'it', 'major', 'tenant', 'the', 'walter', 'reed', 'nation', 'militari', 'medic', 'center']","[23, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 24, 24, 24, 24, 24]"
"['the', 'three', 'major', 'learn', 'paradigm', 'are', 'supervis', 'learn', 'unsupervis', 'learn', 'and', 'reinforc', 'learn']","[0, 0, 0, 0, 0, 0, 1, 2, 1, 2, 0, 1, 2]"
"['exampl', 'includ', 'control', 'plan', 'and', 'schedul', 'the', 'abil', 'to', 'answer', 'diagnost', 'and', 'consum', 'question', 'handwrit', 'recognit', 'natur', 'languag', 'understand', 'speech', 'recognit', 'and', 'facial', 'recognit']","[0, 0, 3, 3, 4, 4, 0, 0, 0, 3, 4, 4, 4, 4, 3, 4, 3, 4, 4, 3, 4, 0, 3, 4]"
"['in', '1991', 'he', 'wa', 'elect', 'as', 'a', 'fellow', 'of', 'the', 'associ', 'for', 'the', 'advanc', 'of', 'artifici', 'intellig', '1990', 'found', 'fellow']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 16, 16, 16, 16, 16, 0, 0, 0]"
"['howev', 'by', 'formul', 'the', 'problem', 'as', 'the', 'solut', 'of', 'a', 'toeplitz', 'matrix', 'and', 'use', 'levinson', 'recurs', 'we', 'can', 'rel', 'quickli', 'estim', 'a', 'filter', 'with', 'the', 'smallest', 'mean', 'squar', 'error', 'possibl']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 12, 0]"
