tokens,ner_tags
[],[]
"['eu', 'reject', 'german', 'call', 'to', 'boycott', 'british', 'lamb']","[3, 0, 7, 0, 0, 0, 7, 0]"
"['peter', 'blackburn']","[1, 2]"
['brussel'],[5]
"['the', 'european', 'commiss', 'said', 'on', 'thursday', 'it', 'disagre', 'with', 'german', 'advic', 'to', 'consum', 'to', 'shun', 'british', 'lamb', 'until', 'scientist', 'determin', 'whether', 'mad', 'cow', 'diseas', 'can', 'be', 'transmit', 'to', 'sheep']","[0, 3, 4, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['germani', 'repres', 'to', 'the', 'european', 'union', 'veterinari', 'committe', 'werner', 'zwingmann', 'said', 'on', 'wednesday', 'consum', 'should', 'buy', 'sheepmeat', 'from', 'countri', 'other', 'than', 'britain', 'until', 'the', 'scientif', 'advic', 'wa', 'clearer']","[5, 0, 0, 0, 3, 4, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]"
"['we', 'do', 'support', 'ani', 'such', 'recommend', 'becaus', 'we', 'do', 'see', 'ani', 'ground', 'for', 'it', 'the', 'commiss', 'chief', 'spokesman', 'nikolau', 'van', 'der', 'pa', 'told', 'a', 'news', 'brief']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0]"
"['he', 'said', 'further', 'scientif', 'studi', 'wa', 'requir', 'and', 'if', 'it', 'wa', 'found', 'that', 'action', 'wa', 'need', 'it', 'should', 'be', 'taken', 'by', 'the', 'european', 'union']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4]"
"['he', 'said', 'a', 'propos', 'last', 'month', 'by', 'eu', 'farm', 'commission', 'franz', 'fischler', 'to', 'ban', 'sheep', 'brain', 'spleen', 'and', 'spinal', 'cord', 'from', 'the', 'human', 'and', 'anim', 'food', 'chain', 'wa', 'a', 'highli', 'specif', 'and', 'precautionari', 'move', 'to', 'protect', 'human', 'health']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['fischler', 'propos', 'measur', 'after', 'report', 'from', 'britain', 'and', 'franc', 'that', 'under', 'laboratori', 'condit', 'sheep', 'could', 'contract', 'bovin', 'spongiform', 'encephalopathi', 'bse', 'mad', 'cow', 'diseas']","[1, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 7, 0, 0, 0]"
"['but', 'fischler', 'agre', 'to', 'review', 'hi', 'propos', 'after', 'the', 'eu', 'stand', 'veterinari', 'committe', 'mation', 'anim', 'health', 'offici', 'question', 'if', 'such', 'action', 'wa', 'justifi', 'as', 'there', 'wa', 'onli', 'a', 'slight', 'risk', 'to', 'human', 'health']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['spanish', 'farm', 'minist', 'loyola', 'de', 'palacio', 'had', 'earlier', 'accus', 'fischler', 'at', 'an', 'eu', 'farm', 'minist', 'meet', 'of', 'caus', 'unjustifi', 'alarm', 'through', 'danger', 'generalis']","[7, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[],[]
"['onli', 'franc', 'and', 'britain', 'back', 'fischler', 'propos']","[0, 5, 0, 5, 0, 1, 0]"
"['the', 'eu', 'scientif', 'veterinari', 'and', 'multidisciplinari', 'committe', 'are', 'due', 'to', 'the', 'issu', 'earli', 'next', 'month', 'and', 'make', 'recommend', 'to', 'the', 'senior', 'veterinari', 'offici']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['sheep', 'have', 'long', 'been', 'known', 'to', 'contract', 'scrapi', 'a', 'diseas', 'similar', 'to', 'bse', 'which', 'is', 'believ', 'to', 'have', 'been', 'transfer', 'to', 'cattl', 'through', 'feed', 'contain', 'anim', 'wast']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['british', 'farmer', 'deni', 'on', 'thursday', 'there', 'wa', 'ani', 'danger', 'to', 'human', 'health', 'from', 'their', 'sheep', 'but', 'express', 'concern', 'that', 'german', 'govern', 'advic', 'to', 'consum', 'to', 'avoid', 'british', 'lamb', 'might', 'influenc', 'consum', 'across', 'europ']","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 5]"
"['what', 'we', 'have', 'to', 'be', 'extrem', 'care', 'of', 'is', 'how', 'other', 'countri', 'are', 'go', 'to', 'take', 'germani', 'lead', 'welsh', 'nation', 'farmer', 'union', 'nfu', 'chairman', 'john', 'lloyd', 'jone', 'said', 'on', 'bbc', 'radio']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 4, 4, 4, 3, 0, 1, 2, 2, 0, 0, 3, 4]"
"['bonn', 'ha', 'led', 'effort', 'to', 'protect', 'public', 'health', 'after', 'consum', 'confid', 'collaps', 'in', 'march', 'after', 'a', 'british', 'report', 'suggest', 'human', 'could', 'contract', 'an', 'ill', 'similar', 'to', 'mad', 'cow', 'diseas', 'by', 'eat', 'contamin', 'beef']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['germani', 'import', 'sheep', 'from', 'britain', 'last', 'year', 'nearli', 'half', 'of', 'total', 'import']","[5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]"
"['it', 'brought', 'in', 'tonn', 'of', 'british', 'mutton', 'some', '10', 'percent', 'of', 'overal', 'import']","[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]"
[],[]
"['rare', 'hendrix', 'song', 'draft', 'sell', 'for', 'almost']","[0, 1, 0, 0, 0, 0, 0]"
['london'],[5]
"['a', 'rare', 'earli', 'handwritten', 'draft', 'of', 'a', 'song', 'by', 'guitar', 'legend', 'jimi', 'hendrix', 'wa', 'sold', 'for', 'almost', 'on', 'thursday', 'at', 'an', 'auction', 'of', 'some', 'of', 'the', 'late', 'musician', 'favourit', 'possess']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['a', 'florida', 'restaur', 'paid', 'pound', 'for', 'the', 'draft', 'of', 'ai', 'no', 'tell', 'which', 'hendrix', 'pen', 'on', 'a', 'piec', 'of', 'london', 'hotel', 'stationeri', 'in', 'late', '1966']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 0, 1, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]"
"['at', 'the', 'end', 'of', 'a', 'januari', '1967', 'concert', 'in', 'the', 'english', 'citi', 'of', 'nottingham', 'he', 'threw', 'the', 'sheet', 'of', 'paper', 'into', 'the', 'audienc', 'where', 'it', 'wa', 'retriev', 'by', 'a', 'fan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['buyer', 'also', 'snap', 'up', '16', 'other', 'item', 'that', 'were', 'put', 'up', 'for', 'auction', 'by', 'hendrix', 'former', 'girlfriend', 'kathi', 'etchingham', 'who', 'live', 'with', 'him', 'from', '1966', 'to', '1969']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
"['they', 'includ', 'a', 'black', 'lacquer', 'and', 'mother', 'of', 'pearl', 'inlaid', 'box', 'use', 'by', 'hendrix', 'to', 'store', 'hi', 'drug', 'which', 'an', 'anonym', 'australian', 'purchas', 'bought', 'for', 'pound']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0]"
"['the', 'guitarist', 'die', 'of', 'a', 'drug', 'overdos', 'in', '1970', 'age', '27']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[],[]
"['china', 'say', 'taiwan', 'spoil', 'atmospher', 'for', 'talk']","[5, 0, 5, 0, 0, 0, 0]"
['beij'],[5]
"['china', 'on', 'thursday', 'accus', 'taipei', 'of', 'spoil', 'the', 'atmospher', 'for', 'a', 'resumpt', 'of', 'talk', 'across', 'the', 'taiwan', 'strait', 'with', 'a', 'visit', 'to', 'ukrain', 'by', 'taiwanes', 'vice', 'presid', 'lien', 'chan', 'thi', 'week', 'that', 'infuri', 'beij']","[5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 5, 0, 7, 0, 0, 1, 2, 0, 0, 0, 0, 5]"
"['speak', 'onli', 'hour', 'after', 'chines', 'state', 'media', 'said', 'the', 'time', 'wa', 'right', 'to', 'engag', 'in', 'polit', 'talk', 'with', 'taiwan', 'foreign', 'ministri', 'spokesman', 'shen', 'guofang', 'told', 'reuter', 'the', 'necessari', 'atmospher', 'for', 'the', 'open', 'of', 'the', 'talk', 'ha', 'been', 'disrupt', 'by', 'the', 'taiwan', 'author']","[0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 4, 0, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0]"
