tokens,ner_tags
"['they', 'mostli', 'engag', 'in', 'confront', 'the', 'polic', 'dure', 'demonstr', 'and', 'riot', 'especi', 'in', 'countri', 'like', 'canada', 'mexico', 'or', 'greec']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]"
"['lincoln', 'replac', 'buell', 'with', 'william', 'rosecran', 'and', 'after', 'the', '1862', 'and', '1863', 'unit', 'state', 'hous', 'of', 'repres', 'elect', 'he', 'replac', 'mcclellan', 'with', 'ambros', 'burnsid']","[2, 0, 2, 0, 2, 3, 0, 0, 0, 4, 5, 5, 5, 5, 5, 5, 5, 5, 0, 0, 2, 0, 2, 3]"
"['tamsin', 'greig', 'narrat', 'and', 'the', 'cast', 'includ', 'nicki', 'henson', 'as', 'napoleon', 'tobi', 'jone', 'as', 'the', 'propagandist', 'squealer', 'and', 'ralph', 'ineson', 'as', 'boxer']","[6, 7, 0, 0, 0, 0, 0, 6, 7, 0, 0, 6, 7, 0, 0, 0, 0, 0, 6, 7, 0, 0]"
"['mani', 'of', 'the', 'most', 'promin', 'nation', 'leader', 'such', 'as', 'washington', 'john', 'adam', 'john', 'hancock', 'and', 'benjamin', 'franklin', 'retir', 'from', 'public', 'life', 'serv', 'as', 'foreign', 'deleg', 'or', 'held', 'offic', 'in', 'state', 'govern', 'and', 'for', 'the', 'gener', 'public', 'local', 'govern', 'and', 'seem', 'quit', 'satisfactori']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 2, 3, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['einstein', 'becam', 'a', 'full', 'professor', 'at', 'the', 'german', 'univers', 'in', 'pragu', 'in', 'april', '1911', 'accept', 'austria', 'n', 'citizenship', 'in', 'the', 'to', 'do', 'so']","[6, 0, 0, 0, 0, 0, 0, 0, 9, 0, 10, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"['took', 'einstein', 'to', 'meet', 'winston', 'churchil', 'at', 'hi', 'home', 'and', 'later', 'austen', 'chamberlain', 'and', 'former', 'prime', 'minist', 'david', 'lloyd', 'georg']","[0, 6, 0, 0, 2, 3, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 2, 3, 3]"
"['he', 'invit', 'the', 'chieftain', 'of', 'the', 'former', 'satrapi', 'of', 'gandhara', 'a', 'region', 'present', 'straddl', 'eastern', 'afghanistan', 'and', 'northern', 'pakistan', 'to', 'come', 'to', 'him', 'and', 'submit', 'to', 'hi', 'author']","[0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['east', 'of', 'poru', 'kingdom', 'near', 'the', 'gang', 'river', 'wa', 'the', 'nanda', 'empir', 'of', 'magadha', 'and', 'further', 'east', 'the', 'gangaridai', 'of', 'bengal', 'region', 'of', 'the', 'indian', 'subcontin']","[0, 0, 6, 0, 0, 0, 10, 12, 0, 0, 1, 13, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 10, 12]"
"['after', 'the', 'assassin', 'of', 'perdicca', 'in', '321', 'bc', 'macedonian', 'uniti', 'collaps', 'and', '40', 'year', 'of', 'war', 'between', 'the', 'successor', 'diadochi', 'ensu', 'befor', 'the', 'hellenist', 'world', 'settl', 'into', 'four', 'stabl', 'power', 'bloc', 'ptolema', 'kingdom', 'egypt', 'seleucid', 'empir', 'mesopotamia', 'and', 'central', 'asia', 'attalid', 'dynasti', 'anatolia', 'and', 'antigonid', 'dynasti', 'macedon']","[0, 0, 0, 0, 6, 0, 0, 0, 1, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 1, 1, 13, 10, 0, 10, 12, 11, 14, 10, 0, 11, 14, 1]"
"['some', 'of', 'the', 'most', 'pronounc', 'effect', 'of', 'hellen', 'can', 'be', 'seen', 'in', 'afghanistan', 'and', 'india', 'in', 'the', 'region', 'of', 'the', 'rel', 'kingdom', 'bc', 'in', 'modern', 'afghanistan', 'pakistan', 'and', 'tajikistan', 'and', 'the', 'kingdom', '180', 'bc', '10', 'ad', 'in', 'modern', 'afghanistan', 'and', 'and', 'creat', 'a', 'cultur', 'of', 'art']","[0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 1, 0, 1, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 14]"
