tokens,ner_tags
"['esa', 'advanc', 'concept', 'team', 'also', 'demonstr', 'theoret', 'that', 'a', 'deflect', 'of', '99942', 'apophi', 'could', 'be', 'achiev', 'by', 'send', 'a', 'spacecraft', 'weigh', 'less', 'than', 'a', 'tonn', 'to', 'impact', 'against', 'the', 'asteroid']","[7, 7, 8, 8, 0, 0, 0, 0, 0, 0, 0, 23, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['studi', 'in', 'human', 'neutrophil', 'first', 'detect', 'a', 'plasma', 'membran', 'site', 'which', 'revers', 'bound', 'and', 'had', 'the', 'attribut', 'of', 'a', 'gi', 'alpha', 'subunit', 'g', 'receptor', 'base', 'on', 'the', 'abil', 'of', 'to', 'activ', 'thi', 'class', 'of', 'membran', 'g', 'protein', 'by', 'a', 'pertussi', 'toxin', 'mechan']","[0, 0, 0, 33, 0, 0, 0, 33, 34, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 18, 17, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 18, 0, 0, 33, 34, 34]"
"['that', 'first', 'even', 'session', 'wa', 'organ', 'by', 'jack', 'yardley', 'from', 'john', 'hopkin', 'univers', 'and', 'includ', 'henri', 'appelman', 'univers', 'of', 'michigan', 'harvey', 'goldman', 'beth', 'israel', 'deaco', 'medic', 'center', 'and', 'harvard', 'medic', 'school', 'bill', 'hawk', 'the', 'cleveland', 'clinic', 'tom', 'kent', 'univers', 'of', 'iowa', 'ming', 'templ', 'univers', 'tom', 'norri', 'univers', 'of', 'washington', 'and', 'robert', 'riddel', 'univers', 'of', 'chicago']","[0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 5, 6, 6, 0, 0, 3, 4, 5, 6, 6, 1, 2, 7, 8, 8, 8, 8, 0, 5, 6, 6, 1, 2, 0, 7, 8, 3, 4, 5, 6, 6, 2, 5, 6, 1, 2, 5, 6, 6, 0, 1, 2, 5, 6, 6]"
"['viral', 'tk', 'phosphoryl', 'aciclovir', 'into', 'it', 'monophosph', 'form', 'which', 'is', 'subsequ', 'phosphoryl', 'to', 'activ', 'aciclovir', 'triphosh', 'by', 'cellular', 'kinas', 's', 'thu', 'select', 'inhibit', 'viral', 'dna', 'polymeras']","[15, 16, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 0, 15, 16, 0, 0, 0, 0, 0, 15, 16]"
"['he', 'also', 'won', 'the', 'copley', 'medal', 'in', '1907', 'the', 'henri', 'draper', 'medal', 'in', '1916', 'and', 'the', 'gold', 'medal', 'of', 'the', 'royal', 'astronom', 'societi', 'in', '1923']","[0, 0, 0, 0, 31, 32, 0, 0, 0, 31, 32, 32, 0, 0, 0, 0, 31, 32, 32, 32, 32, 32, 32, 0, 0]"
"['hypomethyl', 'of', 'these', 'gene', 'correl', 'with', 'decreas', 'express', 'of', 'variou', 'dnmt', 'and', 'domain', 'bind', 'protein']","[33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 18, 18, 18]"
"['in', 'februari', '2016', 'he', 'wa', 'one', 'of', 'the', 'four', 'scientist', 'of', 'ligo', 'scientif', 'collabor', 'virgo', 'interferomet', 'collabor', 'present', 'at', 'the', 'press', 'confer', 'for', 'the', 'announc', 'that', 'the', 'first', 'direct', 'gravit', 'wave', 'observ', 'had', 'been', 'made', 'in', 'septemb', '2015']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 8, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 28, 28, 28, 0, 0, 0, 0, 0, 0]"
"['research', 'indic', 'that', 'the', 'major', 'of', 'variat', 'in', 'coat', 'growth', 'pattern', 'length', 'and', 'curl', 'can', 'be', 'attribut', 'to', 'mutat', 'in', 'four', 'gene', 'the', 'gene', 'or', 'rspo2', 'the', 'fibroblast', 'growth', 'gene', 'or', 'fgf5', 'the', 'krt71', 'gene', 'or', 'krt71', 'and', 'the', 'melanocortin', '5', 'receptor', 'gene', 'mc5r']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 17, 18, 0, 0, 17, 0, 33, 34, 0, 33, 0, 0, 17, 18, 18, 0, 17]"
"['on', '9', 'may', '1821', 'he', 'marri', 'in', 'klein', 'lankum', 'with', 'camper', 'third', 'child', 'and', 'second', 'daughter', 'frederika', 'theodora', 'ernestina', 'camper', 'who', 'wa', 'herself', 'an', 'who', 'accompani', 'him', 'on', 'voyag', 'to', 'georg', 'cuvier', 'in', 'franc', 'and', 'humphri', 'davi', 'in', 'england', 'she', 'made', 'draw', 'of', 'hi', 'specimen']","[0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 3, 0, 0, 0, 0, 0, 3, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 9, 0, 1, 2, 0, 9, 0, 0, 0, 0, 0, 0]"
"['that', 'is', 'cell', 'stimul', 'caus', 'dha', 'to', 'be', 'releas', 'from', 'the', 'posit', 'of', 'their', 'cellular', 'phospholipid', 'pool', 'through', 'the', 'action', 'of', 'a', 'phospholipas', 'a2', 'enzym', 'and', 'the', 'subsequ', 'attack', 'of', 'the', 'releas', 'dha', 'by', 'cyp450', 'epoxidas']","[0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 34, 0, 0, 34, 34, 34, 0, 0, 0, 0, 0, 15, 16, 16, 0, 0, 0, 0, 0, 0, 0, 21, 0, 15, 16]"
